序号,类型,prompt,answer,explanation,baichuan_epoch_1,baichuan_epoch_2,baichuan_epoch_3,baichuan_epoch_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
明月几时有？把酒问青天。不知天上宫阙，今夕是何年。我欲乘风归去，又恐琼楼玉宇，高处不胜寒。起舞弄清影，何似在人间？

转朱阁，低绮户，照无眠。不应有恨，何事长向别时圆？人有悲欢离合，月有阴晴圆缺，此事古难全。但愿人长久，千里共婵娟。

 ",['苏轼'],,苏轼,苏轼,苏轼,苏轼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
大江东去，浪淘尽，千古风流人物。故垒西边，人道是，三国周郎赤壁。乱石穿空，惊涛拍岸，卷起千堆雪。江山如画，一时多少豪杰。

遥想公瑾当年，小乔初嫁了，雄姿英发。羽扇纶巾，谈笑间，樯橹灰飞烟灭。故国神游，多情应笑我，早生华发。人生如梦，一尊还酹江月。

 ",['苏轼'],,苏轼,苏轼,苏轼,这是苏轼的《赤壁怀古》。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
十年生死两茫茫，不思量，自难忘。千里孤坟，无处话凄凉。纵使相逢应不识，尘满面，鬓如霜。

夜来幽梦忽还乡，小轩窗，正梳妆。相顾无言，惟有泪千行。料得年年肠断处，明月夜，短松冈。 ",['苏轼'],,苏轼,苏轼,苏轼,苏轼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
东风夜放花千树。更吹落、星如雨。宝马雕车香满路。凤箫声动，玉壶光转，一夜鱼龙舞。

蛾儿雪柳黄金缕。笑语盈盈暗香去。众里寻他千百度。蓦然回首，那人却在，灯火阑珊处。 ",['辛弃疾'],,辛弃疾,辛弃疾,此诗为辛弃疾所作《青玉案·元夕》,这位宋词作者是辛弃疾。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
醉里挑灯看剑，梦回吹角连营。八百里分麾下炙，五十弦翻塞外声。沙场秋点兵。

马作的卢飞快，弓如霹雳弦惊。了却君王天下事，赢得生前身后名。可怜白发生！ ",['辛弃疾'],,辛弃疾,辛弃疾,辛弃疾,这是辛弃疾的《破阵子·为陈同甫赋壮词以寄之》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
伫倚危楼风细细，望极春愁，黯黯生天际。草色烟光残照里，无言谁会凭阑意。

拟把疏狂图一醉，对酒当歌，强乐还无味。衣带渐宽终不悔，为伊消得人憔悴。 ",['柳永'],,柳永,此词作者为柳永。,此诗为柳永所作。,此词作者是柳永。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
长安古道马迟迟，高柳乱蝉嘶。夕阳岛外，秋风原上，目断四天垂。

归云一去无踪迹，何处是前期？狎兴生疏，酒徒萧索，不似少年时。 ",['柳永'],,作者：王安石,作者：秦观,此诗为唐代诗人杜甫所作《曲江二首》之一。,柳永,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
黄金榜上，偶失龙头望。明代暂遗贤，如何向。未遂风云便，争不恣狂荡。何须论得丧？才子词人，自是白衣卿相。

烟花巷陌，依约丹青屏障。幸有意中人，堪寻访。且恁偎红倚翠，风流事，平生畅。青春都一饷。忍把浮名，换了浅斟低唱！ ",['柳永'],,柳永,柳永,此词名为《鹤冲天·黄金榜上》，作者为柳永(约987年—约1053年)。,此词作者为辛弃疾。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
风住尘香花已尽，日晚倦梳头。物是人非事事休，欲语泪先流。

闻说双溪春尚好，也拟泛轻舟。只恐双溪舴艋舟，载不动许多愁。 ",['李清照'],,作者：李清照,作者：李清照,此诗为李清照《武陵春·春晚》。,这首宋词的作者是李清照。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
昨夜雨疏风骤，浓睡不消残酒。试问卷帘人，却道海棠依旧。知否，知否？应是绿肥红瘦。 ",['李清照'],,作者：李清照,作者：李清照,此词的作者是李清照。,李清照,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
