id,tyoe,prompt,answer,explanation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
明月几时有？把酒问青天。不知天上宫阙，今夕是何年。我欲乘风归去，又恐琼楼玉宇，高处不胜寒。起舞弄清影，何似在人间？

转朱阁，低绮户，照无眠。不应有恨，何事长向别时圆？人有悲欢离合，月有阴晴圆缺，此事古难全。但愿人长久，千里共婵娟。",['苏轼'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
大江东去，浪淘尽，千古风流人物。故垒西边，人道是，三国周郎赤壁。乱石穿空，惊涛拍岸，卷起千堆雪。江山如画，一时多少豪杰。

遥想公瑾当年，小乔初嫁了，雄姿英发。羽扇纶巾，谈笑间，樯橹灰飞烟灭。故国神游，多情应笑我，早生华发。人生如梦，一尊还酹江月。",['苏轼'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
十年生死两茫茫，不思量，自难忘。千里孤坟，无处话凄凉。纵使相逢应不识，尘满面，鬓如霜。

夜来幽梦忽还乡，小轩窗，正梳妆。相顾无言，惟有泪千行。料得年年肠断处，明月夜，短松冈。",['苏轼'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
东风夜放花千树。更吹落、星如雨。宝马雕车香满路。凤箫声动，玉壶光转，一夜鱼龙舞。

蛾儿雪柳黄金缕。笑语盈盈暗香去。众里寻他千百度。蓦然回首，那人却在，灯火阑珊处。",['辛弃疾'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
醉里挑灯看剑，梦回吹角连营。八百里分麾下炙，五十弦翻塞外声。沙场秋点兵。

马作的卢飞快，弓如霹雳弦惊。了却君王天下事，赢得生前身后名。可怜白发生！",['辛弃疾'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
伫倚危楼风细细，望极春愁，黯黯生天际。草色烟光残照里，无言谁会凭阑意。

拟把疏狂图一醉，对酒当歌，强乐还无味。衣带渐宽终不悔，为伊消得人憔悴。",['柳永'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
长安古道马迟迟，高柳乱蝉嘶。夕阳岛外，秋风原上，目断四天垂。

归云一去无踪迹，何处是前期？狎兴生疏，酒徒萧索，不似少年时。",['柳永'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
黄金榜上，偶失龙头望。明代暂遗贤，如何向。未遂风云便，争不恣狂荡。何须论得丧？才子词人，自是白衣卿相。

烟花巷陌，依约丹青屏障。幸有意中人，堪寻访。且恁偎红倚翠，风流事，平生畅。青春都一饷。忍把浮名，换了浅斟低唱！",['柳永'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
风住尘香花已尽，日晚倦梳头。物是人非事事休，欲语泪先流。

闻说双溪春尚好，也拟泛轻舟。只恐双溪舴艋舟，载不动许多愁。",['李清照'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
昨夜雨疏风骤，浓睡不消残酒。试问卷帘人，却道海棠依旧。知否，知否？应是绿肥红瘦。",['李清照'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
驿外断桥边，寂寞开无主。已是黄昏独自愁，更著风和雨。

无意苦争春，一任群芳妒。零落成泥碾作尘，只有香如故。",['陆游'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
当年万里觅封侯，匹马戍梁州。关河梦断何处？尘暗旧貂裘。

胡未灭，鬓先秋，泪空流。此生谁料，心在天山，身老沧洲。",['陆游'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
尊前拟把归期说，欲语春容先惨咽。人生自是有情痴，此恨不关风与月。

离歌且莫翻新阕，一曲能教肠寸结。直须看尽洛城花，始共春风容易别。",['欧阳修'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
候馆梅残，溪桥柳细。草薰风暖摇征辔。离愁渐远渐无穷，迢迢不断如春水。

寸寸柔肠，盈盈粉泪。楼高莫近危阑倚。平芜尽处是春山，行人更在春山外。",['欧阳修'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
槛菊愁烟兰泣露，罗幕轻寒，燕子双飞去。明月不谙离恨苦，斜光到晓穿朱户。

昨夜西风凋碧树，独上高楼，望尽天涯路。欲寄彩笺兼尺素，山长水阔知何处？",['晏殊'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,中文常识：宋词,"谁是下面这首宋词的作者？请仅回复作者的名字。
---
红笺小字。说尽平生意。鸿雁在云鱼在水。惆怅此情难寄。

斜阳独倚西楼。遥山恰对帘钩。人面不知何处，绿波依旧东流。",['晏殊'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
轻轻的我走了，正如我轻轻的来；我轻轻的招手，作别西天的云彩。",徐志摩《再别康桥》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
我不知道风 是在哪一个方向吹——我是在梦中，在梦的轻波里依洄。",徐志摩《我不知道风是在哪一个方向吹》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
我是天空里的一片云，偶尔投影在你的波心。你不必讶异，更无须欢喜，在转瞬间消灭了踪影。",徐志摩《偶然》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
黑夜给了我黑色的眼睛，我却用它寻找光明。",顾城《一代人》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
你，一会儿看我，一会儿看云。我觉得，你看我时很远，你看云时很近。",顾城《远和近》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
说是寂寞的秋的清愁，说是辽远的海的相思。假如有人问我的烦忧，我不敢说出你的名字。",戴望舒《烦忧》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
我说你是人间的四月天，笑响点亮了四面风；轻灵在春的光艳中交舞着变。",林徽因《你是人间的四月天》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
你站在桥上看风景，看风景人在楼上看你。明月装饰了你的窗子，你装饰了别人的梦。",卞之琳《断章》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
都是平常经验，都是平常影象，偶然涌到梦中来，变幻出多少新奇花样！",胡适《梦与诗》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
醉过才知酒浓，爱过才知情重：——你不能做我的诗，正如我不能做你的梦。",胡适《梦与诗》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
为什么我的眼里常含泪水？因为我对这土地爱得深沉……",艾青《我爱这土地》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
小时候，乡愁是一枚小小的邮票，我在这头，母亲在那头。",余光中《乡愁》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
我达达的马蹄是美丽的错误。我不是归人，是个过客……",郑愁予《错误》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
卑鄙是卑鄙者的通行证，高尚是高尚者的墓志铭。",北岛《回答》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
我如果爱你，绝不像攀援的凌霄花，借你的高枝炫耀自己；我如果爱你，绝不学痴情的鸟儿，为绿荫重复单调的歌曲。",舒婷《致橡树》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
从明天起, 做一个幸福的人，喂马, 劈柴, 周游世界。",海子《面朝大海，春暖花开》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
陌生人，我也为你祝福，愿你有一个灿烂的前程，愿你有情人终成眷属，愿你在尘世获的幸福，我也愿面朝大海, 春暖花开。",海子《面朝大海，春暖花开》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
我把石头还给石头，让胜利的胜利。",海子《日记》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,中文常识：现代诗歌,"下面这段内容出自哪位中国现当代作家的哪一部诗歌作品？请只回复作家姓名和作品名称，不要包含其他内容。例如：徐志摩《再别康桥》
---
如何让你遇见我，在我最美丽的时刻。为这，我已在佛前求了五百年，求佛让我们结一段尘缘",席慕蓉《一棵开花的树》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
